timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1749428436.286,-19.531,-27.832,-14.160,-19.531,0.000,0
1749428436.290,-5.859,-20.020,-7.812,-17.090,0.000,0
1749428436.294,-14.648,-28.320,-9.277,-15.625,0.000,0
1749428436.297,-20.508,-40.527,-16.602,-10.254,0.000,0
1749428436.301,-3.418,-21.973,-11.230,3.418,0.000,0
1749428436.306,15.137,4.395,5.371,9.766,0.000,0
1749428436.310,-17.578,-12.695,-20.508,-32.715,0.000,0
1749428436.314,-34.180,-24.414,-35.645,-50.781,0.000,0
1749428436.317,-25.879,-13.672,-26.367,-31.250,0.000,0
1749428436.321,-23.438,-9.277,-22.949,-22.949,0.000,0
1749428436.325,-14.160,-3.906,-20.996,-20.508,0.000,0
1749428436.329,-4.395,-1.465,-18.555,-10.254,0.000,0
1749428436.333,-3.418,-3.418,-19.531,-4.883,0.000,0
1749428436.337,-9.277,-3.418,-23.926,17.090,0.000,0
1749428436.341,-7.812,5.859,-19.531,64.453,0.000,0
1749428436.344,-6.836,5.859,-17.578,69.336,0.000,0
1749428436.348,-10.254,-17.090,-30.273,56.641,0.000,0
1749428436.353,-3.418,-16.602,-21.484,74.219,0.000,0
1749428436.357,10.742,1.953,1.465,94.238,0.000,0
1749428436.360,0.488,-5.859,-4.883,74.707,0.000,0
1749428436.364,-19.043,-19.043,-25.391,48.340,0.000,0
1749428436.368,-6.348,-12.695,-20.996,45.898,0.000,0
1749428436.372,-2.930,-6.836,-15.625,45.410,0.000,0
1749428436.376,-4.883,-12.695,-14.160,52.246,0.000,0
1749428436.380,3.418,-14.648,-13.184,56.641,0.000,0
1749428436.384,19.043,-12.207,-18.066,43.457,0.000,0
1749428436.387,24.902,-7.812,-8.301,49.805,0.000,0
1749428436.391,13.672,2.930,8.789,64.941,0.000,0
1749428436.395,-1.953,-11.719,-10.254,52.246,0.000,0
1749428436.400,-23.438,-21.973,-24.902,33.203,0.000,0
1749428436.403,-22.949,-19.043,-19.043,25.879,0.000,0
1749428436.407,-7.812,-16.113,-11.719,30.762,0.000,0
1749428436.411,-1.465,-10.742,-6.836,30.273,0.000,0
1749428436.415,7.324,-13.672,-2.441,33.203,0.000,0
1749428436.419,20.996,-11.719,1.465,44.434,0.000,0
1749428436.423,23.438,-8.789,5.371,42.969,0.000,0
1749428436.427,9.766,-8.301,1.465,29.297,0.000,0
1749428436.430,0.000,-13.184,-14.160,23.438,0.000,0
1749428436.434,15.137,-11.719,-9.277,36.133,0.000,0
1749428436.438,22.949,0.000,1.465,43.457,0.000,0
1749428436.442,-2.441,-11.719,-8.301,25.879,0.000,0
1749428436.446,-16.113,-21.973,-20.996,5.371,0.000,0
1749428436.450,-7.324,-13.184,-15.137,7.812,0.000,0
1749428436.454,-1.465,3.906,-0.488,20.996,0.000,0
1749428436.458,-16.602,-9.766,-13.672,10.254,0.000,0
1749428436.462,-35.645,-27.344,-24.902,-4.395,0.000,0
1749428436.466,-29.297,-21.973,-21.484,-4.883,0.000,0
1749428436.469,-9.277,-10.254,-9.766,10.254,0.000,0
1749428436.473,8.789,-10.254,8.301,30.273,0.000,0
1749428436.477,-8.301,-27.344,0.977,13.672,0.000,0
1749428436.481,-33.691,-29.785,-15.625,-9.277,0.000,0
1749428436.485,-37.598,-30.273,-17.578,-13.672,0.000,0
1749428436.489,-26.367,-24.902,-12.695,-11.719,0.000,0
1749428436.493,-4.883,-19.043,-2.930,4.883,0.000,0
1749428436.497,-13.672,-27.344,-2.930,8.789,0.000,0
1749428436.501,-28.320,-22.949,-2.930,-2.441,0.000,0
1749428436.505,-21.484,-12.207,12.207,10.742,0.000,0
1749428436.509,-5.371,-4.883,19.531,15.625,0.000,0
1749428436.512,-12.207,-9.277,9.277,0.000,0.000,0
1749428436.516,-30.273,-23.926,-2.441,-11.719,0.000,0
1749428436.520,-26.367,-24.902,-7.324,-19.531,0.000,0
