timestamps,PPG1,PPG2,PPG3,Marker0
1749427104.838,451347.000,286905.000,2504.000,0
1749427104.853,451288.000,286820.000,2493.000,0
1749427104.869,451227.000,286735.000,2492.000,0
1749427104.885,451165.000,286638.000,2582.000,0
1749427104.900,451075.000,286542.000,2494.000,0
1749427104.916,450975.000,286555.000,2526.000,0
1749427104.931,450917.000,286517.000,2519.000,0
1749427104.947,450980.000,286466.000,2470.000,0
1749427104.963,450972.000,286508.000,2445.000,0
1749427104.978,450852.000,286546.000,2493.000,0
1749427104.994,450931.000,286534.000,2495.000,0
1749427105.010,450943.000,286602.000,2410.000,0
1749427105.025,451079.000,286546.000,2505.000,0
1749427105.041,451025.000,286564.000,2448.000,0
1749427105.056,451155.000,286625.000,2494.000,0
1749427105.072,451087.000,286643.000,2494.000,0
1749427105.088,451100.000,286573.000,2493.000,0
1749427105.103,451175.000,286639.000,2483.000,0
1749427105.119,451076.000,286594.000,2533.000,0
1749427105.135,451111.000,286576.000,2492.000,0
1749427105.150,451092.000,286617.000,2492.000,0
1749427105.166,451117.000,286591.000,2568.000,0
1749427105.181,451134.000,286560.000,2521.000,0
1749427105.197,451150.000,286561.000,2495.000,0
1749427105.213,451224.000,286622.000,2448.000,0
1749427105.228,451244.000,286663.000,2444.000,0
1749427105.244,451284.000,286612.000,2430.000,0
1749427105.260,451315.000,286685.000,2474.000,0
1749427105.275,451290.000,286633.000,2492.000,0
1749427105.291,451308.000,286744.000,2417.000,0
